,id,processing_tags
0,9100,"['힐링', '휴식', '설레다', '사랑']"
1,36436,"['꿀잠', '휴식', '피아노', '공부', '생각', '책', '읽다', '때', '뉴에이지', '숙면', '북카페']"
2,37706,"['매장', '음악', '까페']"
3,68772,"['웹진', '웨이브', 'weiv', '위', '클리', '초이스', '기분', '전환']"
4,32217,"['위로', '긍정', '에너지', '힘내다', '힘나다']"
5,111996,"['역주행', '_', '하다', '_', '하다', '노래', '역주행', '카페', '가을']"
6,41321,"['내한', '감성', '맨', '아이', '트러스트', '팝', '인디팝', '몽환', '음색', '서정', '적', '인', '밴드', 'MIT']"
7,18956,"['파티', '춤', '댄스', '기분', '전환', '흥겹다', '움', '신나다']"
8,118531,"['스트레스', '기분', '전환']"
9,111704,"['매장', '음악']"
10,74077,"['몽환', '꿈', '에서']"
11,124368,"['빗', '소리', '힐링', '효과음', '파도', '소리', '자연', '의', '소리']"
12,127173,"['슬픔', '힐링', '휴식', '이별']"
13,46136,"['감성', '발라드', '백청강', '드라이브', '여행', '기분', '전환', '애창', '곡', '파워', '보컬', '노래방']"
14,24516,"['스트레스', '기분', '전환']"
15,85523,"['인디음악', '어쿠스틱', '한', '감성', '매장', '음악', '발라드']"
16,141174,"['힐링', '휴식', '추억', '회상']"
17,116495,"['뉴에이지', '봄날', '반갑다']"
18,25643,"['하드록', '강렬하다', '헤비메탈', '클래식', '록', '명곡', '1960년', '대', '록']"
19,136111,"['물론', '애인', '은', '없다', '봄']"
20,110704,"['힐링', '여행', '월드뮤직', '아일랜드']"
21,74261,"['힐링', '휴식', '까페']"
22,102594,"['기분', '좋다', '기분', '전환', '기분', '좋다']"
23,29907,"['스트레스', '기분', '전환']"
24,42663,"['힐링', '휴식', '가을']"
25,77884,"['따다', '한', '겨울', '감성', '아이유', '겨울', '볼', '빨갛다', '사춘기', '12월', '크리스마스', '디즈니', '겨울', '노래', '추다', '날']"
26,103307,"['슬픔', '밤', '이별', '새벽']"
27,113394,"['퇴근길', '발라드']"
28,85771,"['자존감', '회복', '위로', '감성', '기분', '전환']"
29,14718,"['프로', '듀스', '101시', '즌', '2', '수고', '하다']"
30,23105,"['겨울', '추억', '회상']"
31,143200,"['힙합', '랩']"
32,39430,"['까페', '잔잔하다']"
33,124077,"['자장가', '도움']"
34,30657,"['클럽', '스트레스']"
35,30566,"['힐링', '휴식', '가을']"
36,45532,"['뉴에이지', '시작']"
37,147595,"['여유', '로운', '휴일', '토요일', '주말', '카페', '브런치', '커피', '팝송', '가로수길']"
38,24600,"['조용하다', '스트레스', '드라이브', '시간', '사색', '커피', '위', '한', '나르다', '스피커', '내', '공간']"
39,27300,"['Deanfluenza', '감성', '힙합', 'DEAN', '권혁', '작곡가', '딘']"
40,61493,"['클럽', '기분', '전환']"
41,79231,"['여름', '록페스티벌', '밴드', '경쾌하다', '트렌드', '제이록', '제이팝', '신나다']"
42,92114,"['UMF', '소리', '크다', '음악', 'Pop', '일렉트로니카']"
43,149799,"['댄스', '여성', '아이돌']"
44,147671,"['일', '렉']"
45,29066,"['남자', '남성', '보컬', '그룹', '팝', '트랙', '보이밴드']"
46,95808,"['연주', '곡', '취향', '저격', 'DJ', '생각', '생각', '이', '_', '많다', '_', '밤', '재즈', '피아노', '뉴에이지']"
47,86623,"['노동요', '발라드', '신나다', '음악', '트로트', '지루하다', '틈', '없다', '노래', '폭풍', '고음', '사무실', '짜증나다', '때', '댄스', '음악']"
48,88590,"['우울', '분위기', '몽환', '섹시', '몽환', '적', '인', 'Sexy']"
