,id,processing_tags
0,9100,"['사랑', '휴식']"
1,36436,"['뉴에이지', '생각', '책', '때', '북카페']"
2,37706,['까페']
3,68772,"['웨이브', '웹진', '위', 'weiv']"
4,32217,"['힘내다', '긍정']"
5,111996,"['가을', '카페', '하다', '_']"
6,41321,"['밴드', '서정', '몽환', '적', '팝', '감성', '인디팝']"
7,18956,"['파티', '움', '신나다', '전환']"
8,118531,['전환']
9,111704,['매장']
10,74077,['꿈']
11,124368,"['의', '자연', '소리', '소리']"
12,127173,"['힐링', '슬픔']"
13,46136,"['곡', '기분', '애창', '파워', '드라이브', '전환']"
14,24516,['스트레스']
15,85523,"['인디음악', '매장', '음악']"
16,141174,"['추억', '회상']"
17,116495,['뉴에이지']
18,25643,"['클래식', '대', '하드록', '1960년']"
19,136111,"['은', '없다']"
20,110704,"['월드뮤직', '아일랜드']"
21,74261,['휴식']
22,102594,"['기분', '기분', '좋다']"
23,29907,['전환']
24,42663,['휴식']
25,77884,"['겨울', '감성', '디즈니', '겨울', '사춘기', '날', '겨울', '볼']"
26,103307,"['슬픔', '이별']"
27,113394,['퇴근길']
28,85771,"['감성', '위로', '기분']"
29,14718,"['프로', '즌', '101시']"
30,23105,['겨울']
31,143200,['랩']
32,39430,['까페']
33,124077,['도움']
34,30657,['스트레스']
35,30566,['휴식']
36,45532,['뉴에이지']
37,147595,"['브런치', '주말', '로운', '여유', '가로수길']"
38,24600,"['내', '나르다', '사색', '스피커', '커피', '드라이브']"
39,27300,"['DEAN', '감성', '힙합']"
40,61493,['클럽']
41,79231,"['여름', '밴드', '제이록', '경쾌하다']"
42,92114,"['UMF', '소리', '음악']"
43,149799,['아이돌']
44,147671,['일']
45,29066,"['트랙', '팝', '남자']"
46,95808,"['많다', '이', '재즈', '피아노', '_', '밤', '연주']"
47,86623,"['신나다', '노동요', '음악', '발라드', '고음', '없다', '짜증나다', '노래']"
48,88590,"['Sexy', '몽환', '인', '몽환']"
49,62157,"['곡', '연주', '카페', '뉴에이지', '피아노']"
50,35431,"['키즈', '살']"
51,119216,['까페']
52,28490,"['집', '브랜뉴직', '그루', '음악']"
53,60270,['렉']
54,141311,['느낌']
55,96258,['사랑']
56,69984,"['가을', '발라드', '느끼다', '밤', '카페']"
57,36721,"['감각', '세기', '21', '컨트리팝', '트렌디']"
58,76257,"['산책', '여행']"
59,2841,['산책']
60,118596,"['스트레스', '감성', '무드', 'RnB']"
61,92853,['전환']
62,82693,['스트레스']
63,109625,"['센치', '슬픔']"
64,77081,['새벽']
65,51223,"['비', '날']"
66,147626,['힙합']
67,8113,"['전환', '감성', '팝송', '취향']"
68,30440,['휴식']
69,31330,"['성', '감성', '개다']"
70,76184,"['오는', '비']"
71,109631,['차트']
72,93441,"['회상', '산책']"
73,25790,"['회상', '새벽']"
74,142611,"['설레다', '사랑']"
75,43804,"['가을', '개다', '감성']"
76,15978,"['감성', '글', '습작']"
77,22794,['휴식']
78,150211,"['낭만', '2019', '번', '신나다', '슬', '드라이브', '낙엽', '합정역']"
79,19650,"['명곡', '음악', '포근하다', '홍콩', '중국']"
80,60492,['여자친구']
81,114776,"['다이어트', '운동', '스포츠', '댄스']"
82,54409,['전환']
83,4666,['힐링']
84,97151,['랩']
85,132432,['까페']
86,8771,['힐링']
87,45951,['3']
88,125610,"['전환', '장르', '아름답다']"
89,80374,"['내적댄스', '여름', '상쾌', '댄스']"
90,77858,"['사이다', '분위기', '전환']"
91,50068,"['슬픔', '추억']"
92,57971,['렉']
93,91489,['힐링']
94,127025,"['Hot', '50']"
95,55008,"['대중', '여자', '향수', '1970', '적', '1980년', '적', '가수']"
96,132587,['밤']
97,95066,"['미국', 'Hot', 'Billboard']"
98,37081,['설레다']
99,66928,"['EDM', '홍대', '일렉트로니카', '클럽']"
100,75932,"['홍비', '추억', '엔비', '들썩들썩', '힙합', '홍대']"
101,30582,"['기분', '퇴근길', '새벽', 'jamiroquai', '재즈', '라운지', '전환']"
102,124621,"['정', '미스', '김수찬', '트로트', '미스터', '장윤정', '영', '탁']"
103,104727,"['일', '힙합']"
104,11970,['힙합']
105,137003,['사랑']
106,78179,['dance']
107,23314,['힙합']
108,78338,"['이별', '추억', '가을']"
109,43709,['기분']
110,61048,"['감성', '한국', '비']"
111,83400,['운동']
112,48483,['휴식']
113,117664,"['매장', '바람', '선선', '인', '루프', '오후', '힐링']"
114,4097,"['위로', '토닥토닥']"
115,102077,"['혼자', '띵곡', '이다', '분위기', '편안하다']"
116,57874,"['발라드', '들', '적', '인', '추억']"
117,20822,['기분']
118,12900,['잔잔하다']
119,11175,"['indie', '나', '노래', '만', '노래', '아침', '이다', '좋다', '좋다', '듣기']"
120,31185,"['편안하다', '겨울', '잔잔하다', '가을']"
121,142382,['힐링']
122,143399,"['힙합', '알앤비', '가을', '낙엽']"
123,72937,"['일렉트로팝', 'electropop']"
124,63169,"['이별', '슬픔', '때', '보다', '밤', '새벽']"
125,13031,"['사랑', '음악']"
126,93042,"['혼자', '외로움', '나잇', '애프터']"
127,30976,['잔잔하다']
128,21177,"['피아노', '매장', '봄', '따스하다', '곡', '곡', '연주']"
129,84739,['추억']
130,119683,"['잔잔하다', '날']"
131,41310,['기분']
132,38404,"['인', '매장', '트렌디', '적']"
133,13639,"['커피', '이별', '매장', '겨울', '설레다']"
134,141767,"['힙합엘이', 'HIPHOPLE']"
135,51708,"['다이어트', '운동']"
136,147849,['렉']
137,34901,['짝사랑']
138,72713,"['사랑', '하나님']"
139,139499,['까페']
140,134588,"['전환', '불문', '드라이브', '포크', '어쿠스틱', '알앤비']"
141,60319,"['잠들다', '겨울', '기전', '마무리', '자다', '연말']"
142,71532,"['편집', '샵', '바', '재즈', '재즈']"
143,102458,"['드라이브', '트로피']"
144,80568,"['푸덕', '찰리']"
145,15508,"['_', '혼자', '때', '밤', '후', '사랑', '발라드']"
146,130298,"['댄스', '일렉트로니카', '불금', 'EDM', '취향', '저격']"
147,144359,"['띵곡', '어쿠스틱', '이다', '퇴근길', '발라드']"
148,117002,"['1980', '록']"
149,13063,"['쫑', '분위기']"
150,43218,"['편하다', '조용하다', '좋다', '듣기']"
151,66033,['기분']
152,93613,"['아르바이트', '신나다', '음악', '외국']"
153,144141,"['주말', '연휴', '있다', '편안하다', '휴일', '나른하다']"
154,98834,"['듣다', '계속']"
155,83980,"['저녁', '산책', '힐링', '기분']"
156,59563,"['산뜻하다', '전환', '기분']"
157,13905,"['에어', '기타', '드라이브', 'Rock', '록', '스트레스']"
158,29407,['휴식']
159,78476,"['연애', '썸', 'propose', '심쿵', '분위기']"
160,42803,"['팝송', '듣기', '공허하다']"
161,11074,['스트레스']
162,75144,"['회상', '새벽', '스트레스', '밤', '저녁']"
163,39137,"['기분', '저격', '매장', '취향', '음악', '잔잔하다']"
164,28281,['알앤비']
165,23111,"['월요병', '집', '방콕']"
166,134256,"['힐링', '휴식']"
167,42693,"['퇴폐', '치명']"
168,5726,"['조커', 'OST']"
169,127742,"['바람', '추억', '카페', '감성']"
170,42776,"['기분', '설레다']"
171,29350,"['태교', '낮잠', '휴식', '기전', '오르다', '골']"
172,113647,"['곡', '추천']"
173,44434,"['전환', '설레다']"
174,53986,"['을', '을', '노래', '아우르다', '하다', '시간']"
175,19574,['사랑']
176,124601,"['불문', '장르', '멜로디', '찾다']"
177,79882,"['감성', '울적하다']"
178,63836,"['볼', '사춘기', '인디뮤직', '일', '페스티벌', '다', '페스티벌']"
179,15619,['까페']
180,39862,"['추억', '감성', '사랑']"
181,31777,"['밤', 'Pop', '퇴근길', '새벽', 'RandB']"
182,136276,"['전환', '피아노', '가을', '재즈']"
183,126217,['감성']
184,29437,"['발라드', '연애', '이다', '월요일', '겨울']"
185,125599,['힙합']
186,114359,['여름']
187,8565,"['시원하다', '청량하다', '하다', '드라이브', '때']"
188,28421,"['대성', 'BIGBANG', '지드래곤']"
189,119867,['랩']
190,13874,"['전환', '드라이브', '여행']"
191,109825,"['Soundtrack', '대이후', '영화음악', 'twilight', '판타지']"
192,134234,"['기다림', '케이윌', '리수', '거니', '천생연분']"
193,127021,"['달달', '힐링', '음악', '전환', '편안하다']"
194,1485,"['전환', '힐링']"
195,6463,['힙합']
196,46408,"['조용하다', '비']"
197,40804,"['SS', '런웨이']"
198,67722,"['가을', '선선', '저녁', '주말', '데이트']"
199,99492,"['밤', '힘들다', '전환', '힐링', '스트레스', '새벽']"
200,124713,"['휴식', '힐링']"
201,60687,['렉']
202,125769,['설레다']
203,97963,"['셜', '트렌디', '셜', '오피', '차트']"
204,107098,"['감성', '이다', '달달', '는', '기분', '이부', '가다', '함께']"
205,20060,['전환']
206,40152,['랩']
207,23749,['힙합']
208,116897,['가을']
209,65835,"['유쾌하다', '여름']"
210,134612,"['마지막', '끝', '2016', '올해']"
211,136844,"['카페', '느낌']"
212,44705,['클럽']
213,120874,['드라이브']
214,55521,['잔잔하다']
215,102796,['힙합']
216,60774,['힐링']
217,85715,['팝']
218,61102,['까페']
219,95060,"['설레다', '사랑']"
220,63497,['새벽']
221,133666,"['HIPSTER', '기분', '스웩']"
222,77245,"['커피숍', '숍', '노동요', '감성', '드라이브', '그루', '재즈', '힙합']"
223,120566,"['감성', '겨울', '스타일리시', '연말', '시티', '브']"
224,120012,['feel']
225,66472,['지니어스']
226,101892,['잔잔하다']
227,113429,"['잔잔하다', '조용하다', '자장가']"
228,40429,['운동']
229,119619,"['공연', '라이브', '록']"
230,39900,"['노래', '하늘빛']"
231,96443,"['낙엽', '감정이입']"
232,140405,['공연']
233,103092,['일']
234,110157,"['드라이브', '띵곡', '분위기', '우울', '발라드']"
